zhuo4 zhuò
hao5 hao
hao0
hao
hang4 hàng
hang3 hǎng
hang2 háng
hang1 hāng
hang5 hang
hang0
hang
han4 hàn
han3 hǎn
han2 hán
han1 hān
han5 han
han0
han
hai4 hài
hai3 hǎi
hai2 hái
hai1 hāi
hai5 hai
hai0
hai
ha4 hà
ha3 hǎ
ha2 há
ha1 hā
ha5 ha
ha0
ha
guo4 guò
guo3 guǒ
guo2 guó
guo1 guō
guo5 guo
guo0
guo
gun4 gùn
gun3 gǔn
gun2 gún
gun1 gūn
gun5 gun
gun0
gun
gui4 guì
gui3 guǐ
gui2 guí
gui1 guī
gui5 gui
gui0
gui
guang4 guàng
guang3 guǎng
guang2 guáng
guang1 guāng
guang5 guang
guang0
guang
guan4 guàn
guan3 guǎn
guan2 guán
guan1 guān
guan5 guan
guan0
guan
guai4 guài
guai3 guǎi
guai2 guái
guai1 guāi
guai5 guai
guai0
guai
gua4 guà
gua3 guǎ
gua2 guá
gua1 guā
gua5 gua
gua0
gua
gu4 gù
gu3 gǔ
gu2 gú
gu1 gū
gu5 gu
gu0
gu
gou4 gòu
gou3 gǒu
gou2 góu
gou1 gōu
gou5 gou
gou0
gou
gong4 gòng
gong3 gǒng
gong2 góng
gong1 gōng
gong5 gong
gong0
gong
geng4 gèng
geng3 gěng
geng2 géng
geng1 gēng
geng5 geng
geng0
geng
gen4 gèn
gen3 gěn
gen2 gén
gen1 gēn
gen5 gen
gen0
gen
gei4 gèi
gei3 gěi
gei2 géi
gei1 gēi
gei5 gei
gei0
gei
ge4 gè
ge3 gě
ge2 gé
ge1 gē
ge5 ge
ge0
ge
gao4 gào
gao3 gǎo
gao2 gáo
gao1 gāo
gao5 gao
gao0
gao
gang4 gàng
gang3 gǎng
gang2 gáng
gang1 gāng
gang5 gang
gang0
gang
gan4 gàn
gan3 gǎn
gan2 gán
gan1 gān
gan5 gan
gan0
gan
gai4 gài
gai3 gǎi
gai2 gái
gai1 gāi
gai5 gai
gai0
gai
ga4 gà
ga3 gǎ
ga2 gá
ga1 gā
ga5 ga
ga0
ga
fu4 fù
fu3 fǔ
fu2 fú
fu1 fū
fu5 fu
fu0
fu
fou4 fòu
fou3 fǒu
fou2 fóu
fou1 fōu
fou5 fou
fou0
fou
fo4 fò
fo3 fǒ
fo2 fó
fo1 fō
fo5 fo
fo0
fo
feng4 fèng
feng3 fěng
feng2 féng
feng1 fēng
feng5 feng
feng0
feng
fen4 fèn
fen3 fěn
fen2 fén
fen1 fēn
fen5 fen
fen0
fen
fei4 fèi
fei3 fěi
fei2 féi
fei1 fēi
fei5 fei
fei0
fei
fang4 fàng
fang3 fǎng
fang2 fáng
fang1 fāng
fang5 fang
fang0
fang
fan4 fàn
fan3 fǎn
fan2 fán
fan1 fān
fan5 fan
fan0
fan
fa4 fà
fa3 fǎ
fa2 fá
fa1 fā
fa5 fa
fa0
fa
er4 èr
er3 ěr
er2 ér
er1 ēr
er5 er
er0
er
eng4 èng
eng3 ěng
eng2 éng
eng1 ēng
eng5 eng
eng0
eng
en4 èn
en3 ěn
en2 én
en1 ēn
en5 en
en0
en
ei4 èi
ei3 ěi
ei2 éi
ei1 ēi
ei5 ei
ei0
ei
e4 è
e3 ě
e2 é
e1 ē
e5 e
e0
e
duo4 duò
duo3 duǒ
duo2 duó
duo1 duō
duo5 duo
duo0
duo
dun4 dùn
dun3 dǔn
dun2 dún
dun1 dūn
dun5 dun
dun0
dun
dui4 duì
dui3 duǐ
dui2 duí
dui1 duī
dui5 dui
dui0
dui
duan4 duàn
duan3 duǎn
duan2 duán
duan1 duān
duan5 duan
duan0
duan
du4 dù
du3 dǔ
du2 dú
du1 dū
du5 du
du0
du
dou4 dòu
dou3 dǒu
dou2 dóu
dou1 dōu
dou5 dou
dou0
dou
dong4 dòng
dong3 dǒng
dong2 dóng
dong1 dōng
dong5 dong
dong0
dong
diu4 diù
diu3 diǔ
diu2 diú
diu1 diū
diu5 diu
diu0
diu
ding4 dìng
ding3 dǐng
ding2 díng
ding1 dīng
ding5 ding
ding0
ding
die4 diè
die3 diě
die2 dié
die1 diē
die5 die
die0
die
diao4 diào
diao3 diǎo
diao2 diáo
diao1 diāo
diao5 diao
diao0
diao
dian4 diàn
dian3 diǎn
dian2 dián
dian1 diān
dian5 dian
dian0
dian
di4 dì
di3 dǐ
di2 dí
di1 dī
di5 di
di0
di
deng4 dèng
deng3 děng
deng2 déng
deng1 dēng
deng5 deng
deng0
deng
dei4 dèi
dei3 děi
dei2 déi
dei1 dēi
dei5 dei
dei0
dei
de4 dè
de3 dě
de2 dé
de1 dē
de5 de
de0
de
dao4 dào
dao3 dǎo
dao2 dáo
dao1 dāo
dao5 dao
dao0
dao
dang4 dàng
dang3 dǎng
dang2 dáng
dang1 dāng
dang5 dang
dang0
dang
dan4 dàn
dan3 dǎn
dan2 dán
dan1 dān
dan5 dan
dan0
dan
dai4 dài
dai3 dǎi
dai2 dái
dai1 dāi
dai5 dai
dai0
dai
da4 dà
da3 dǎ
da2 dá
da1 dā
da5 da
da0
da
chuo4 chuò
chuo3 chuǒ
chuo2 chuó
chuo1 chuō
chuo5 chuo
chuo0
chuo
chun4 chùn
chun3 chǔn
chun2 chún
chun1 chūn
chun5 chun
chun0
chun
chui4 chuì
chui3 chuǐ
chui2 chuí
chui1 chuī
chui5 chui
chui0
chui
chuang4 chuàng
chuang3 chuǎng
chuang2 chuáng
chuang1 chuāng
chuang5 chuang
chuang0
chuang
chuan4 chuàn
chuan3 chuǎn
chuan2 chuán
chuan1 chuān
chuan5 chuan
chuan0
chuan
chuai4 chuài
chuai3 chuǎi
chuai2 chuái
chuai1 chuāi
chuai5 chuai
chuai0
chuai
chua4 chuà
chua3 chuǎ
chua2 chuá
chua1 chuā
chua5 chua
chua0
chua
chu4 chù
chu3 chǔ
chu2 chú
chu1 chū
chu5 chu
chu0
chu
chou4 chòu
chou3 chǒu
chou2 chóu
chou1 chōu
chou5 chou
chou0
chou
chong4 chòng
chong3 chǒng
chong2 chóng
chong1 chōng
chong5 chong
chong0
chong
chi4 chì
chi3 chǐ
chi2 chí
chi1 chī
chi5 chi
chi0
chi
cheng4 chèng
cheng3 chěng
cheng2 chéng
cheng1 chēng
cheng5 cheng
cheng0
cheng
chen4 chèn
chen3 chěn
chen2 chén
chen1 chēn
chen5 chen
chen0
chen
che4 chè
che3 chě
che2 ché
che1 chē
che5 che
che0
che
chao4 chào
chao3 chǎo
chao2 cháo
chao1 chāo
chao5 chao
chao0
chao
chang4 chàng
chang3 chǎng
chang2 cháng
chang1 chāng
chang5 chang
chang0
chang
chan4 chàn
chan3 chǎn
chan2 chán
chan1 chān
chan5 chan
chan0
chan
chai4 chài
chai3 chǎi
chai2 chái
chai1 chāi
chai5 chai
chai0
chai
cha4 chà
cha3 chǎ
cha2 chá
cha1 chā
cha5 cha
cha0
cha
cuo4 cuò
cuo3 cuǒ
cuo2 cuó
cuo1 cuō
cuo5 cuo
cuo0
cuo
cun4 cùn
cun3 cǔn
cun2 cún
cun1 cūn
cun5 cun
cun0
cun
cui4 cuì
cui3 cuǐ
cui2 cuí
cui1 cuī
cui5 cui
cui0
cui
cuan4 cuàn
cuan3 cuǎn
cuan2 cuán
cuan1 cuān
cuan5 cuan
cuan0
cuan
cu4 cù
cu3 cǔ
cu2 cú
cu1 cū
cu5 cu
cu0
cu
cou4 còu
cou3 cǒu
cou2 cóu
cou1 cōu
cou5 cou
cou0
cou
cong4 còng
cong3 cǒng
cong2 cóng
cong1 cōng
cong5 cong
cong0
cong
ci4 cì
ci3 cǐ
ci2 cí
ci1 cī
ci5 ci
ci0
ci
ceng4 cèng
ceng3 cěng
ceng2 céng
ceng1 cēng
ceng5 ceng
ceng0
ceng
cen4 cèn
cen3 cěn
cen2 cén
cen1 cēn
cen5 cen
cen0
cen
ce4 cè
ce3 cě
ce2 cé
ce1 cē
ce5 ce
ce0
ce
cao4 cào
cao3 cǎo
cao2 cáo
cao1 cāo
cao5 cao
cao0
cao
cang4 càng
cang3 cǎng
cang2 cáng
cang1 cāng
cang5 cang
cang0
cang
can4 càn
can3 cǎn
can2 cán
can1 cān
can5 can
can0
can
cai4 cài
cai3 cǎi
cai2 cái
cai1 cāi
cai5 cai
cai0
cai
ca4 cà
ca3 cǎ
ca2 cá
ca1 cā
ca5 ca
ca0
ca
bu4 bù
bu3 bǔ
bu2 bú
bu1 bū
bu5 bu
bu0
bu
bo4 bò
bo3 bǒ
bo2 bó
bo1 bō
bo5 bo
bo0
bo
bing4 bìng
bing3 bǐng
bing2 bíng
bing1 bīng
bing5 bing
bing0
bing
bin4 bìn
bin3 bǐn
bin2 bín
bin1 bīn
bin5 bin
bin0
bin
bie4 biè
bie3 biě
bie2 bié
bie1 biē
bie5 bie
bie0
bie
biao4 biào
biao3 biǎo
biao2 biáo
biao1 biāo
biao5 biao
biao0
biao
bian4 biàn
bian3 biǎn
bian2 bián
bian1 biān
bian5 bian
bian0
bian
bi4 bì
bi3 bǐ
bi2 bí
bi1 bī
bi5 bi
bi0
bi
beng4 bèng
beng3 běng
beng2 béng
beng1 bēng
beng5 beng
beng0
beng
ben4 bèn
ben3 běn
ben2 bén
ben1 bēn
ben5 ben
ben0
ben
bei4 bèi
bei3 běi
bei2 béi
bei1 bēi
bei5 bei
bei0
bei
bao4 bào
bao3 bǎo
bao2 báo
bao1 bāo
bao5 bao
bao0
bao
bang4 bàng
bang3 bǎng
bang2 báng
bang1 bāng
bang5 bang
bang0
bang
ban4 bàn
ban3 bǎn
ban2 bán
ban1 bān
ban5 ban
ban0
ban
bai4 bài
bai3 bǎi
bai2 bái
bai1 bāi
bai5 bai
bai0
bai
ba4 bà
ba3 bǎ
ba2 bá
ba1 bā
ba5 ba
ba0
ba
ao4 ào
ao3 ǎo
ao2 áo
ao1 āo
ao5 ao
ao0
ao
ang4 àng
ang3 ǎng
ang2 áng
ang1 āng
ang5 ang
ang0
ang
an4 àn
an3 ǎn
an2 án
an1 ān
an5 an
an0
an
ai4 ài
ai3 ǎi
ai2 ái
ai1 āi
ai5 ai
ai0
ai
a4 à
a3 ǎ
a2 á
a1 ā
a5 a
a0
a
